iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
12,premo,pea,pea,[0.08298646 5.93480689 9.18161734 1.63191754 1.         0.14657063],[0.         3.54491639 5.03989543 5.59789877 0.80458735 0.09449553]
12,rem,pea,pea,[ 6.70127211  0.4654077   3.06808447 -0.19694289],[ 9.99999697  0.09734232  0.15900029 -0.13137197]
13,piece,piece,piece,[4.08413218 1.33412966 0.30260432],[3.73246475 1.52544208 0.24484473]
13,pea,pea,pea,[5.18176371 0.2356468  1.12955192],[5.34801975 0.24686179 1.18723829]
13,premo,rem,pea,[0.31160979 3.01938228 6.06563784 4.03414222 1.         0.44526478],[0.25261204 3.88111925 5.13699841 5.1369984  0.63836494 0.42256658]
13,rem,rem,pea,[2.21353322 0.69905463 3.45231967 1.37344969],[1.74006739 1.81570453 7.0386709  1.38314679]
14,piece,piece,piece,[ 5.27639958  0.83179146 -0.01464474],[ 5.65103681  0.70310709 -0.02755981]
14,pea,pea,pea,[5.19551998 0.4473965  1.6934924 ],[4.92881359 0.46543134 1.63348842]
14,premo,premo,pea,[ 0.28447321  0.38898106  7.82281626  2.73959618  1.         -0.63302247],[ 0.9998526   2.62165416  0.01        8.67537903  0.57266424 -0.66085178]
14,rem,rem,rem,[2.89573977 2.93067295 0.27712493 1.0081353 ],[5.08685528 5.91521103 2.71515617 0.60856725]
15,piece,piece,piece,[4.08574381 1.01146019 1.75105295],[3.76761102 0.7480283  1.74359059]
15,pea,pea,pea,[2.83044969 0.24982912 1.09333751],[0.95285457 1.         1.05755183]
15,premo,premo,premo,[ 0.89445695  6.86412742  6.53525415  6.33475042  1.         -0.63022985],[ 0.99462663  0.17387622  0.17784644  0.19574694  0.96757135 -0.56686409]
15,rem,pea,pea,[5.00577289 1.11508026 9.26284821 0.84611248],[ 3.85547351  1.24266119 10.          0.82957997]
16,piece,piece,piece,[3.71084454 0.76327206 1.04613826],[4.87527508 0.96092501 1.14346851]
16,pea,pea,pea,[7.29802044 0.21911955 0.69318238],[4.76508216 0.31642467 0.5945054 ]
16,premo,premo,premo,[ 0.81854623  3.87662361  1.24861745  2.89405179  1.         -0.74192067],[ 0.83269368  5.2952779   6.41503024  2.47520344  0.95982564 -0.72748129]
16,rem,pea,pea,[7.8957374  3.73297081 8.26107952 1.98926259],[9.99990727 0.6712128  0.6714394  2.04568841]
17,piece,piece,piece,[4.91127986 0.26657684 1.1081138 ],[1.05398164e+01 1.00000000e-02 1.12560769e+00]
17,pea,pea,pea,[7.61461972 0.26588283 0.89957774],[9.79610862 0.29357254 0.86885293]
17,premo,premo,premo,[0.33941077 3.2891316  4.74012175 7.93556417 1.         0.79885885],[0.33529657 4.74661537 6.4595817  2.9760778  1.         0.76162582]
17,rem,rem,pea,[1.5668035  2.71122752 4.57665023 1.24662712],[1.58958768 2.79303183 6.66931963 1.18939213]
18,piece,piece,piece,[4.03128649 0.65299811 0.62791686],[4.02742248 0.3610922  0.61979719]
18,pea,pea,pea,[6.61899405 0.19456639 1.50612963],[10.          0.16523126  1.49548458]
18,premo,pea,pea,[0.27586311 2.81328624 2.61409319 1.06682582 1.         0.38231656],[0.10705327 3.64921775 5.00133517 5.49748917 0.01063257 0.36614589]
18,rem,rem,rem,[7.83949369 2.74166841 0.01456365 0.58695583],[7.92206566 2.76258204 0.01627889 0.59078413]
19,piece,piece,piece,[4.25839813 1.22863626 1.42568449],[4.70489234 1.20637083 1.43594214]
19,pea,pea,pea,[9.42217156 0.35767983 0.05662145],[1.00000000e+01 3.48390391e-01 3.07638094e-03]
19,premo,piece,piece,[ 0.27836098  7.20021461  8.01754067  2.01571434  1.         -0.76397593],[ 0.60848945  1.07050762  0.7792714   7.84861468  1.         -0.80077641]
19,rem,pea,pea,[9.68233782 0.97876455 8.40766788 0.67316239],[4.45171359 0.62755458 5.86440242 0.66556154]
20,piece,piece,piece,[ 4.05577607  0.7963179  -0.22490131],[ 3.90726903  0.89671111 -0.27962914]
20,pea,pea,pea,[6.71469516 0.19990028 0.29436581],[10.          0.14115957  0.33318962]
20,premo,piece,piece,[0.314764   1.92848619 2.69486305 0.75834205 1.         1.92081362],[0.01664264 4.93749063 7.41527397 2.50319793 1.         1.99536429]
20,rem,pea,pea,[0.68736424 1.91601721 8.60890415 0.78235635],[3.42439743 0.         6.52911077 0.70257676]
21,piece,piece,piece,[ 4.86503018  1.08142608 -0.46631164],[ 3.58864979  1.02321061 -0.392874  ]
21,pea,pea,pea,[8.27464179 0.24657769 0.27388854],[8.95379203 0.24539577 0.20903925]
21,premo,premo,premo,[0.3805498  6.69173329 0.25842997 7.79346161 1.         1.63928916],[0.56827532 5.28977514 4.97565083 4.00466573 0.88842842 1.71541592]
21,rem,pea,pea,[7.6287872  2.99764882 9.96683932 1.69505278],[6.62119416 1.76712493 4.90245746 1.68165761]
22,piece,piece,piece,[5.03701725 0.57567569 1.61831896],[5.36612935 0.36651803 1.63649106]
22,pea,pea,pea,[3.82886238 0.27191721 0.30948378],[2.01486636 0.40762125 0.19894646]
22,premo,premo,premo,[0.80281028 5.75110157 1.51147903 5.575522   1.         1.68256812],[0.79846042 7.49311954 4.91652108 1.78760209 1.         1.7042121 ]
22,rem,pea,pea,[ 7.92102533  1.0255606   2.00067601 -0.77997824],[ 7.98133571  2.30118495  5.05921419 -0.86395633]
23,piece,piece,piece,[4.54377556 0.43439947 1.11992901],[4.0008229  0.79201875 1.13969826]
23,pea,pea,pea,[2.7711194  0.32925117 1.17539034],[4.64785958 0.20888763 1.24135104]
23,premo,premo,pea,[0.37869337 2.6759081  9.4570744  6.61042619 1.         0.2047103 ],[0.97820735 2.82966514 3.64337823 7.73857861 1.         0.08352812]
23,rem,pea,pea,[ 9.97453522  0.90631512  6.54631962 -0.61540247],[ 7.30107284  0.7935371   5.09879225 -0.58414332]
24,piece,piece,piece,[6.02692096 0.22061064 0.3443581 ],[12.25182754  0.40019292  0.25742517]
24,pea,pea,pea,[ 9.45167249  0.14712166 -0.68930694],[10.          0.17413194 -0.69838859]
24,premo,premo,pea,[0.69648927 3.41256056 6.3458716  2.44492247 1.         1.76411966],[0.99897265 2.57829014 2.43189937 8.8880379  1.         1.71760468]
24,rem,pea,pea,[5.13464867 3.45432392 4.17783042 1.28865369],[5.88963517 3.09530618 4.27063029 1.25964089]
25,piece,piece,piece,[6.05351829 1.38904273 1.22008694],[3.82168495 1.40602321 1.21287584]
25,pea,pea,pea,[9.44279267 0.27020652 0.69354979],[6.0342396  0.32482411 0.69772753]
25,premo,pea,pea,[0.11583199 3.69213565 9.72971914 3.13972189 1.         0.08908472],"[ 4.82539498e-01  2.02523745e+00  7.47423315e-01  9.03506291e+00
  1.00000000e+00 -5.72993506e-03]"
25,rem,pea,pea,[7.53400834 2.19827617 1.51724338 0.98883955],[9.64143845 4.05463191 3.79223566 1.00237817]
26,piece,piece,piece,[5.60528863 0.60246711 1.21708641],[4.53198174 0.46620392 1.27922201]
26,pea,pea,pea,[ 9.07248942  0.31265378 -0.10334485],[10.          0.30667148 -0.17564495]
26,premo,pea,pea,[0.09420422 6.29855936 5.40327967 3.08746492 1.         1.07454784],[0.30962457 3.32228363 4.94346113 5.91615167 0.1245569  1.11219161]
26,rem,pea,pea,[6.44512699 0.6277051  9.82721932 0.56289366],[3.14818844 1.23044255 6.08607662 0.47831425]
27,piece,piece,piece,[6.22717784 1.11171033 1.08344826],[7.35749817 1.0080991  1.07005691]
27,pea,rem,pea,[9.47827244 0.26649429 1.62050524],[10.          0.28262228  1.66971627]
27,premo,premo,premo,[0.26941789 3.81970589 5.88488209 9.50411514 1.         1.74919885],[1.         3.18360548 4.04298103 7.0470599  0.84439754 1.72345137]
27,rem,rem,rem,[ 1.08872814  3.13237776  7.17650092 -0.35534925],[ 0.89187206  5.66075135  6.90254575 -0.38058188]
28,piece,piece,piece,[ 5.5432781   1.21932939 -0.38989254],[ 4.89702602  1.13046129 -0.36825434]
28,pea,pea,pea,[5.61986322 0.44921029 0.38930957],[4.7631418  0.47901061 0.33875525]
28,premo,premo,premo,[0.40790834 2.41202317 7.66768879 9.97291961 1.         0.1808887 ],[ 0.7056683   6.64811523  2.07072197 10.          1.          0.13729512]
28,rem,piece,piece,[5.40687854 0.51034825 2.61956318 1.31829422],[5.74886159 1.00004101 5.34935944 1.33087116]
