iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
53,rem,rem,rem,[9.42318798 3.61920945 1.17213024 0.54065257],[9.87604316 4.34386477 1.62235911 0.49273079]
54,piece,piece,piece,[6.00623306 0.55388253 0.354956  ],[4.62313389 0.24539741 0.33260959]
54,pea,pea,pea,[9.44781933 0.26724816 0.0608081 ],[10.          0.2283145   0.06331613]
54,premo,pea,pea,[0.89200747 0.5781967  7.48227844 2.62466368 1.         0.13063625],[0.81376333 2.94988685 2.52311305 8.61044124 0.98821399 0.10740184]
54,rem,pea,pea,[ 8.97109089  1.75407277  6.89752565 -0.6332919 ],[ 9.11664746  1.31119966  4.46493316 -0.67835765]
55,piece,piece,piece,[ 4.30729656  0.65291822 -0.62677793],[ 5.86587147  0.73351775 -0.59399477]
55,pea,pea,pea,[9.31981528 0.19606408 0.43587732],[6.69717448 0.18199272 0.36085592]
55,premo,premo,premo,[0.79368787 6.45285798 8.08702628 8.64625917 1.         1.44204068],[0.99983927 4.95553893 3.58780564 5.81264029 1.         1.42669295]
55,rem,pea,pea,[9.3837544  1.71287781 5.06240772 1.83651388],[6.42829024 2.03510639 5.0516286  1.85595671]
56,piece,piece,piece,[5.11804675 0.6524305  1.04987655],[5.20143902 0.14910788 1.10766672]
56,pea,pea,pea,[3.99707355 0.32142263 1.3361125 ],[1.40400073 0.94791277 1.28335283]
56,premo,premo,premo,[0.8044219  2.62376907 7.78945644 9.55966014 1.         0.77265085],[ 1.          0.13525405 10.          0.12979638  1.          0.70766527]
56,rem,rem,rem,[7.19475856 2.55119238 3.03428476 1.24978396],[4.13118657 0.80967565 0.25470206 1.14327691]
57,piece,piece,piece,[ 4.27606404  1.26491413 -0.51589609],[ 5.70024954  1.34925773 -0.5378355 ]
57,pea,pea,pea,[7.06175272 0.28984568 1.78837046],[7.31789471 0.33260293 1.79683562]
57,premo,premo,premo,[0.9850476  0.31794495 4.32268901 4.66556913 1.         1.12203098],[1.         0.42114294 0.01       0.39995496 1.         1.15389122]
57,rem,rem,rem,[5.42148872 2.59908495 0.08569418 0.36550991],[6.72399825 4.1052175  0.51541711 0.1797077 ]
58,piece,piece,piece,[4.50588371 0.53741846 0.82817032],[4.8013003  0.33772023 0.7240987 ]
58,pea,pea,pea,[4.90622372 0.31025999 1.86575988],[9.39730434 0.26789495 1.88902035]
58,premo,premo,premo,[0.81482807 6.66812874 0.84733008 8.62339698 1.         1.29143275],[0.80975041 6.227866   5.20876663 0.63661267 1.         1.22734239]
58,rem,pea,pea,[ 5.22984386  1.58570472  7.00687973 -0.66238074],[ 3.30411761  2.43853196  5.94822701 -0.67456237]
59,piece,piece,piece,[4.33667102 0.8843004  1.62384685],[12.88282346  0.55057207  1.61643117]
59,pea,pea,pea,[3.34006491 0.16380013 0.1708743 ],[10.          0.09772338  0.20981175]
59,premo,premo,pea,[ 0.69767469  7.05630506  8.60036617  4.05668497  1.         -0.5388349 ],[ 0.62842885  3.34761715  5.05235564  5.90470323  1.         -0.53469349]
59,rem,rem,pea,[9.46316296 2.60682868 6.04750261 1.31463081],[2.57893954e+00 3.71554457e-01 1.82473182e-03 1.47908571e+00]
60,piece,piece,piece,[6.25681164 1.18352748 1.32502458],[10.10897538  0.93970069  1.3314658 ]
60,pea,pea,pea,[2.89410628 0.22497475 0.20181614],[5.5412679  0.13562278 0.19802168]
60,premo,premo,premo,[0.46373821 3.29407862 0.85929688 6.44663386 1.         1.72496109],[0.74542776 0.79296121 0.01       0.60141638 1.         1.72743524]
60,rem,pea,pea,[ 2.49491095  1.03263709  9.07160107 -0.06342918],[ 1.00773058  2.43155003  6.87860057 -0.1056162 ]
61,piece,piece,piece,[5.21786076 1.39008209 0.54258236],[5.08013609 1.21081598 0.5253772 ]
61,pea,pea,pea,[ 6.05720341  0.28664514 -0.73142546],[ 2.52806792  0.50123339 -0.79832106]
61,premo,premo,pea,[ 0.68638079  4.82877306  7.12950169  1.63570482  1.         -0.33338399],[ 0.0815033   6.32949622  7.27397138  0.01        1.         -0.45548902]
61,rem,pea,pea,[9.74010317 0.72347636 8.5119685  0.72023589],[10.          0.08707367  0.          0.71605918]
62,piece,piece,piece,[ 4.73721985  0.61836049 -0.50210626],[ 3.78983083  0.88508847 -0.52359485]
62,pea,pea,pea,[ 8.11862618  0.33565733 -0.57385731],[ 5.96963298  0.4039664  -0.58772365]
62,premo,premo,pea,[0.99843764 7.8391307  8.68924364 3.36538514 1.         0.21507583],[0.21684209 4.43802356 6.22527779 3.24107247 0.69092117 0.31796086]
62,rem,pea,pea,[0.31102989 1.53061449 7.04926626 0.17193119],[2.64868466 0.57093192 6.67945008 0.09880338]
63,piece,piece,piece,[5.14898366 1.23005493 0.59435085],[7.07672919 1.02076821 0.53481282]
63,pea,pea,pea,[ 4.49944414  0.27189759 -0.38523529],[10.          0.2040644  -0.35242148]
63,premo,premo,premo,[0.21398927 7.99829489 5.23958785 5.91747749 1.         0.95423192],[0.52368391 3.70254352 5.00508294 5.43765221 1.         0.98982234]
63,rem,rem,pea,[8.68299616 3.82766585 2.97905943 0.69215528],[9.25833528 4.67890786 3.97524116 0.76000563]
64,piece,piece,piece,[ 5.2975719   0.94424607 -0.57097472],[ 6.40469006  0.81333041 -0.51896773]
64,pea,pea,pea,[ 8.46315351  0.19066171 -0.42900114],[ 5.46751728  0.24340359 -0.42364181]
64,premo,premo,premo,[0.76877339 6.36710125 2.9584825  5.97069882 1.         0.32441556],[0.70970958 7.50584337 3.34284941 3.34284938 1.         0.40943651]
64,rem,rem,rem,[8.58271241 3.70060915 0.80948741 0.28987579],[8.561237   3.91310907 0.88101422 0.23133818]
65,piece,piece,piece,[4.87492212 0.38766944 0.14077426],[5.4156514  0.99444763 0.14332454]
65,pea,pea,pea,[2.09033235 0.18599509 0.26144232],[10.          0.08778228  0.26562333]
65,premo,premo,premo,[0.64899924 1.80373756 1.53159429 3.49297237 1.         0.86031052],[0.77787629 4.24384231 7.07903311 2.63342296 0.96862478 0.83196166]
65,rem,rem,pea,[ 6.24598523  2.48372708  2.37860522 -0.3336369 ],[ 4.94556562  1.10635402  0.52495545 -0.36877104]
66,piece,piece,piece,[4.12687479 0.66518565 0.72912938],[4.26889342 0.71826758 0.81897127]
66,pea,pea,pea,[4.45853129 0.18485783 1.49337776],[2.10500798 0.40192625 1.48047092]
66,premo,pea,pea,[0.08770082 6.32271845 6.68294051 3.01448306 1.         1.02825252],[0.06348964 3.34866997 5.08096191 5.8086062  0.         1.05844824]
66,rem,rem,pea,[2.84085836 2.76155936 8.6406906  0.23031496],[2.41864823 2.15563591 6.10589181 0.2434533 ]
67,piece,piece,piece,[5.15279146 0.45947895 1.82160965],[6.71707191 0.57939159 1.76608581]
67,pea,pea,pea,[4.29943058 0.24428606 0.96931957],[3.57762563 0.23412294 0.98834557]
67,premo,premo,premo,[0.5926631  1.36336456 2.05001502 6.91803849 1.         1.88499623],[0.5499055  3.36257982 5.11602125 0.01       1.         1.95746027]
67,rem,rem,pea,[4.67293974 3.08428121 8.86081362 1.36822565],[2.2879117  0.2719557  0.02652208 1.41092183]
68,piece,piece,piece,[5.92493993 0.7358659  0.46228538],[5.3042523  0.57539917 0.40360522]
68,pea,pea,pea,[8.14980795 0.21374652 0.2083243 ],[10.          0.19946238  0.17406574]
68,premo,premo,premo,[0.55132032 5.0835915  7.56479006 4.83727475 1.         1.41833411],[1.         3.36310195 3.12070258 7.46766564 1.         1.45064392]
68,rem,pea,pea,[ 8.1341753   0.84825537  8.08462181 -0.22727517],[10.          0.45118264  4.47464129 -0.31334467]
69,piece,piece,piece,[6.09099623 1.07704912 1.51451242],[6.05608191 1.11723152 1.5057544 ]
69,pea,pea,pea,[8.07395231 0.23034302 0.13858459],[10.          0.19363217  0.0728274 ]
69,premo,premo,premo,[ 0.17502807  6.02731964  0.93177414  5.33092506  1.         -0.4649803 ],[ 0.99992336  0.4041464   0.01000414  0.77266646  1.         -0.56384036]
69,rem,rem,rem,[0.83181149 3.7831584  2.19346276 0.60471023],[0.96554009 8.47791564 7.06840418 0.58011546]
70,piece,piece,piece,[4.94242215 0.43657505 1.144703  ],[4.91309358 0.92625129 1.17509109]
70,pea,pea,pea,[4.74008873 0.23697392 0.14469342],[8.32645556 0.21905291 0.12600141]
70,premo,pea,pea,[0.18082713 7.69991595 5.64112603 4.72193976 1.         1.07709279],[0.07657212 5.78126508 7.32525834 0.7192752  0.53822309 1.0677098 ]
70,rem,pea,pea,[7.42330016 0.14416198 8.32391401 0.30827638],[3.73343925 0.         6.23048864 0.29557124]
71,piece,piece,piece,[3.85437998 1.22372098 0.55461136],[4.22793036 1.87015888 0.48266405]
71,pea,pea,pea,[4.51634719 0.32747208 0.17813398],[1.61097954 0.93019726 0.31742652]
71,premo,premo,premo,[ 0.29793558  0.32858345  0.87277406  2.24267071  1.         -0.77514878],[ 0.9793486   0.05519941  0.06589622  0.08769086  0.91740305 -0.7133291 ]
71,rem,pea,pea,[ 6.78107388  2.4431951   8.25497452 -0.38759501],[ 5.38228994  0.66207408  1.2407077  -0.49570986]
72,piece,piece,piece,[5.34716605 0.28473743 1.21769643],[3.64927731 0.35622201 1.00869884]
72,pea,pea,pea,[4.74344306 0.46233434 0.34549377],[2.294146   0.78129327 0.32094255]
72,premo,premo,premo,[0.65205499 0.30067237 9.36908601 1.11762388 1.         1.80175972],[1.         1.89845524 0.62917309 9.99298647 1.         1.76758583]
72,rem,rem,rem,[5.2322325  2.58402339 0.91994079 1.30823946],[4.23785377 1.47630108 0.196503   1.23884178]
73,piece,piece,piece,[ 6.30487074  0.74093938 -0.40313057],[ 5.08938212  0.66136308 -0.40362344]
73,pea,pea,pea,[5.59483257 0.31040635 1.64044838],[2.93733796 0.41287898 1.52755351]
73,premo,premo,premo,[0.86119757 3.66183399 1.16666343 8.69164695 1.         1.44914244],[0.84929604 0.25375773 0.08413567 0.02695449 1.         1.42567651]
73,rem,pea,pea,[5.09741677 0.44483259 1.29087805 1.46232895],[6.43821071 1.31753289 5.05362397 1.49855816]
74,piece,piece,piece,[ 4.90377955  0.76512991 -0.21390624],[ 8.53924202  0.25554228 -0.23005098]
74,pea,pea,pea,[5.66243747 0.36933955 2.03779233],[9.67695738 0.30824335 2.06457324]
74,premo,premo,pea,[ 0.70475817  0.32062043  5.60815176  2.78391673  1.         -0.45791168],[ 0.88085249  3.23314472  4.63337883  6.3759726   0.76253487 -0.54255386]
74,rem,rem,pea,[1.09136842 1.01831215 9.39579012 0.33371718],[ 0.30811211 10.          2.95535371  0.41849057]
75,piece,piece,piece,[5.40468816 0.61834884 1.19628739],[9.3742585  0.34578097 1.20419892]
75,pea,pea,pea,[7.43990723 0.43935186 0.09313849],[10.          0.39943338  0.13305531]
75,premo,premo,premo,[0.92278219 3.64398042 9.40768647 9.01061716 1.         0.55952969],[0.60149312 5.46232377 5.6542201  3.04041268 0.91977871 0.53382798]
75,rem,rem,rem,[0.97951227 2.06430649 0.357402   0.95373097],[0.90060125 2.08898481 0.27384801 0.9252186 ]
76,piece,piece,piece,[5.57770124 0.34683206 0.22483124],[3.90324075 0.05385384 0.13371097]
76,pea,pea,pea,[ 5.15967674  0.20101926 -0.41735677],[ 6.57145809  0.24078342 -0.43289543]
76,premo,pea,pea,[ 0.28050079  4.06647981  8.94036596  3.73892477  1.         -0.17639678],[ 0.25139108  3.3760164   5.04649388  5.81968405  0.9052288  -0.27440584]
76,rem,pea,pea,[9.96267199 2.8542074  5.12570405 1.74914719],[10.          0.48940428  0.17862661  1.70006785]
77,piece,piece,piece,[ 4.78742056  1.38060095 -0.46697765],[ 6.23859423  1.25099532 -0.48490312]
77,pea,pea,pea,[4.84949604 0.39867201 1.74821432],[3.89058036 0.47259    1.72825717]
77,premo,premo,pea,[ 0.31106985  4.54920953  8.2050536   8.40104162  1.         -0.03633868],[ 0.98153543  3.04721687  3.37959795  7.85435387  0.72895344 -0.0560561 ]
77,rem,pea,pea,[4.38270804 1.95260766 3.40847428 1.5078092 ],[4.54937864 5.15648112 9.67374188 1.48784389]
78,piece,piece,piece,[3.61485868 0.38735842 0.18405613],[2.75662409 0.06289226 0.238083  ]
78,pea,pea,pea,[3.8415774  0.45024002 1.73718804],[5.25974642 0.37244767 1.71012723]
78,premo,premo,premo,[0.8504595  4.88171957 4.0469214  4.18315543 1.         0.50705789],[0.99995017 5.04844628 3.79169694 5.42666861 0.89038105 0.40537021]
78,rem,pea,pea,[ 6.13567098  2.32111611  5.2618062  -0.05747805],[ 7.64909316  2.08237003  4.87734879 -0.07265904]
79,piece,piece,piece,[5.07687638 0.92633085 0.50598042],[4.7357824  0.79855217 0.52510895]
79,pea,pea,pea,[8.15803229 0.18930117 1.99275141],[3.17588946 0.35083508 1.98056106]
79,premo,premo,premo,[0.31478714 0.43346817 2.08135756 9.99904835 1.         1.83402849],[0.86294941 3.59856315 5.23899257 5.2389929  0.93315838 1.92787054]
79,rem,pea,pea,[8.66609597 0.08006779 5.93477493 0.89943442],[2.95352866 0.         6.87657282 0.95151426]
80,piece,piece,piece,[5.54904885 0.83439282 0.97251479],[4.49231451 0.95883143 0.91864302]
80,pea,pea,pea,[9.00281132 0.18526463 0.33056021],[5.88941386 0.20661429 0.36795786]
80,premo,premo,premo,[ 0.94183908  3.45373055  0.18004385  9.17377889  1.         -0.59180191],[ 0.93968714  0.47683294  0.20331091  0.01        1.         -0.67622449]
80,rem,pea,pea,[6.54597605 1.72570415 9.86211413 0.37392923],[5.11634664 1.02150712 5.44246813 0.44744839]
81,piece,piece,piece,[ 4.78226921  0.82730596 -0.58937274],[ 3.96736718  0.01       -0.54325926]
81,pea,pea,pea,[3.56058507 0.28676667 0.62903853],[3.18430623 0.26734762 0.63084407]
81,premo,premo,premo,[0.44894662 0.3824629  2.17931261 6.43868776 1.         1.36504226],[ 0.79166806 10.          8.82266542 10.          0.96749205  1.34061026]
81,rem,pea,pea,[ 9.4151601   0.62381008  8.79656236 -0.24564248],[ 5.4082786   0.59643855  5.76858314 -0.19595052]
82,piece,piece,piece,[5.11768284 0.25490638 0.77285366],[4.32849942 0.41935174 0.75908235]
82,pea,pea,pea,[ 8.14937509  0.47771383 -0.42236524],[10.          0.45182452 -0.42152498]
82,premo,premo,premo,[0.40708215 6.47833102 5.12190736 6.34364584 1.         1.10876083],[0.56274642 4.6076357  4.97630287 4.58867975 1.         1.09181875]
82,rem,pea,pea,[ 2.15816241  0.64897422  4.72484039 -0.15952628],[10.          0.23061488  4.11442944 -0.21921445]
83,piece,piece,piece,[4.26241294 0.92071219 1.31385622],[4.36702728 0.98922408 1.32834884]
83,pea,pea,pea,[ 3.4451473   0.20516122 -0.36678091],[ 4.86545711  0.22056495 -0.44782794]
83,premo,pea,pea,[0.14039153 4.8948186  8.7601683  3.20781453 1.         0.15762512],[0.15442048 3.69925511 5.24647555 5.24600471 0.78452938 0.17880872]
83,rem,pea,pea,[ 8.56728728  0.67317303  2.77671833 -0.16622337],[ 7.02988686  1.29336165  4.98718614 -0.09181276]
84,piece,piece,piece,[4.90114407 0.63911646 0.40156956],[4.15351157 0.01       0.39139771]
84,pea,pea,pea,[ 8.99526054  0.18908396 -0.33664189],[ 5.22427893  0.2195243  -0.26947287]
84,premo,pea,pea,"[ 3.18897214e-03  3.05510715e+00  7.64430605e+00  6.93075185e+00
  1.00000000e+00 -1.91496519e-02]",[0.         3.48387685 5.04646533 5.67192117 0.80600459 0.00935197]
84,rem,pea,pea,[ 9.72569177  1.54428787  7.64787862 -0.40446608],[ 6.38210452  1.21442078  5.23205413 -0.46242744]
85,piece,piece,piece,[6.14729177 0.22491193 0.029595  ],[6.50406166e+00 4.77523945e-02 1.53914022e-03]
85,pea,pea,pea,[9.48124072 0.21311604 0.90919367],[10.          0.20379778  0.89496116]
85,premo,pea,pea,[ 0.56154028  7.33952383  4.91817146  1.8422925   1.         -0.66406972],[ 0.11906335  4.26318343  7.20775685  2.77429887  1.         -0.60734571]
85,rem,pea,pea,[7.18293096 3.07376805 8.33788453 0.68924864],[6.32467362 1.82245166 4.95033231 0.73008705]
86,piece,piece,piece,[4.80703199 1.12733043 0.6772108 ],[8.40730849 0.74676608 0.66504725]
86,pea,pea,pea,[7.60009171 0.418141   0.51122443],[9.04242108 0.39159486 0.52201704]
86,premo,premo,pea,[0.68837945 3.35959652 9.59645555 5.5701205  1.         0.0469719 ],[ 0.8440036   4.16031837  0.74575328 10.          0.97126414  0.07594732]
86,rem,rem,pea,[ 2.24100593  2.88417908  9.5109547  -0.41716407],[ 0.7741779   5.71712019  8.05159715 -0.35499444]
87,piece,piece,piece,[4.61482308 1.2197298  0.76509337],[3.64519665 1.49553929 0.65940398]
87,pea,pea,pea,[ 6.12809294  0.47382917 -0.01557068],[6.10019844 0.51387904 0.01024864]
87,premo,premo,premo,[ 0.73572499  5.00080968  6.92760569  9.70904521  1.         -0.0209926 ],[0.97130523 4.59714718 4.92639723 4.64094604 1.         0.01536292]
87,rem,rem,rem,[ 0.96545494  2.5892985   3.3854416  -0.31906157],[ 0.73378367  0.96960591  0.4143466  -0.28678118]
88,piece,piece,piece,[4.85989983 0.90435634 0.93877532],[5.00377217 1.37616203 0.99903936]
88,pea,pea,pea,[7.54658008 0.44424539 1.01713771],[9.99358029 0.40784203 0.97045725]
88,premo,premo,pea,[0.14181323 4.04530594 3.05636244 7.52492851 1.         0.27322639],[0.15634655 5.07741432 7.14076128 1.37374304 1.         0.29243599]
88,rem,rem,rem,[9.55989792 1.77430238 0.6223954  1.39413309],[8.06926601 1.63260819 0.47231768 1.45937784]
89,piece,piece,piece,[4.13577937 1.32486599 0.98424203],[6.79362966 1.25070428 0.97365463]
89,pea,pea,pea,[ 2.23263886  0.26308019 -0.02486973],[ 3.6831728   0.15782371 -0.15812346]
89,premo,piece,piece,[ 0.31194473  4.33422438  6.90256793  2.61066496  1.         -0.13305431],[ 0.38085632  0.16245248  0.01        0.62266177  1.         -0.09988134]
89,rem,pea,pea,[ 7.29511925  1.13513231  5.00994744 -0.07659864],[10.          1.15135552  4.84044165 -0.0975023 ]
90,piece,piece,piece,[3.73710441 1.06751126 0.6314501 ],[3.63485573 0.91665545 0.62731646]
90,pea,pea,pea,[ 2.47957258  0.2715433  -0.21277076],[ 0.98881729  0.94337665 -0.15235716]
90,premo,premo,premo,[0.86003523 2.77332057 5.52279304 5.43655463 1.         1.42194738],[0.47672568 5.77445501 5.8846526  1.85954393 1.         1.41561324]
90,rem,piece,piece,[ 8.60327551  0.74594962  9.41273157 -0.64068069],[ 4.0138176   0.39280863  6.42705408 -0.58073421]
91,piece,piece,piece,[6.32269267 1.32848744 1.28432999],[9.72830215 0.99877796 1.28597152]
91,pea,pea,pea,[4.65057038 0.45503273 0.81107504],[5.77722024 0.43011932 0.83672094]
91,premo,pea,pea,[0.0646633  0.65116912 3.77194394 8.04923652 1.         0.72054038],[ 0.11234749  0.37453913 10.          0.01        0.90908198  0.66260107]
91,rem,rem,rem,[2.29987686 1.86233476 0.34552305 1.60053608],[2.53640834 2.88116001 0.99996166 1.55345498]
92,piece,piece,piece,[ 3.74888454  0.90108271 -0.14294328],[ 5.36915773  1.3729832  -0.10132171]
92,pea,pea,pea,[7.7363297  0.22458121 0.41862976],[3.5786221  0.29258159 0.52831733]
92,premo,premo,premo,[0.63011592 0.96571523 3.11283785 6.99390659 1.         0.20887713],[0.67461914 5.08208565 5.69453353 3.28736292 1.         0.19127773]
92,rem,pea,pea,[ 4.33016404  0.44823283  3.65418884 -0.29543693],[ 4.67093791  0.66911883  6.02061534 -0.28605843]
93,piece,piece,piece,[3.99027127 0.80296037 0.56418505],[4.81521278 0.99683693 0.61165522]
93,pea,pea,pea,[4.77485539 0.24066703 2.03444533],[3.27862166 0.31426927 2.02410344]
93,premo,premo,premo,[0.97306073 5.35703046 8.94377828 5.01203478 1.         0.50721922],[0.87880225 3.8885216  4.09779953 6.11024183 1.         0.49480309]
93,rem,rem,pea,[9.08651259 3.05062533 2.41648812 0.60652814],[3.6342738  0.8464495  0.04006532 0.52984011]
94,piece,piece,piece,[ 4.64482634  0.35626321 -0.24499874],[ 5.73032336  0.05546094 -0.27481535]
94,pea,pea,pea,[4.1054836  0.14182357 1.3673108 ],[10.          0.11901581  1.43527754]
94,premo,premo,premo,[ 0.32421072  1.83307968  1.3810799   8.66034832  1.         -0.69527789],[ 1.          3.67901362  4.81555401  5.61519909  0.84919392 -0.50990734]
94,rem,rem,rem,[1.38023488 1.06790522 0.99984881 0.6680781 ],[1.94800989 3.61544453 5.59672523 0.65332073]
95,piece,piece,piece,[5.91132456 1.28058758 0.19671509],[5.08763924 1.41699856 0.23697727]
95,pea,pea,pea,[6.02572387 0.20410543 0.71469687],[9.79254706 0.18687504 0.74477817]
95,premo,premo,premo,[ 0.7371687   4.94910562  6.58328918  8.27152747  1.         -0.58075784],[ 0.96778304  5.21060348  4.02851912  5.28431421  0.98906465 -0.59674626]
95,rem,rem,rem,[ 9.85485639  2.74179141  1.09417472 -0.10400197],[ 7.60204095  1.63081181  0.28591512 -0.1261454 ]
96,piece,piece,piece,[5.17476907 0.58204856 1.57795858],[5.73624497 0.01557326 1.64464448]
96,pea,pea,pea,[3.82923973 0.37672263 0.14497384],[2.72264534 0.50409466 0.15746295]
96,premo,pea,pea,[ 0.12129686  5.32445055  7.60471603  5.64708576  1.         -0.50588305],[ 0.99706796  2.44786609  2.18468982  9.99993616  0.83421465 -0.55928755]
96,rem,pea,pea,[5.08332693 2.31564344 9.17487375 0.13024855],[9.69715144 0.9679941  4.37111621 0.08888933]
97,piece,piece,piece,[ 3.65217003  0.70761874 -0.39458723],[ 3.7746464   0.52975277 -0.34885211]
97,pea,pea,pea,[5.14639266 0.23043493 0.49748849],[6.71585219 0.21151103 0.56787427]
97,premo,pea,pea,[0.14075055 3.60087582 9.77966019 0.2199372  1.         1.56514219],[0.1751695  2.69891002 4.99477052 6.55903627 0.         1.59972968]
97,rem,pea,pea,[5.07501706 2.16590031 7.41852376 1.42446053],[5.22648902 1.74825419 5.36492645 1.48215482]
98,piece,piece,piece,[4.3036743  0.27142646 0.97201916],[4.50710289 0.01274152 0.94610768]
98,pea,pea,pea,[ 6.19243177  0.28709114 -0.17978706],[ 6.58402931  0.29948982 -0.25976097]
98,premo,premo,premo,[0.97733383 6.47520024 7.52819041 4.46487322 1.         1.58295165],[0.87140739 3.4512942  4.96562389 5.83370569 1.         1.6140145 ]
98,rem,pea,pea,[6.81177034 0.9834867  8.37657865 0.50463161],[5.41376881 0.77610829 5.35449413 0.55612265]
99,piece,piece,piece,[ 5.01599424  1.00774201 -0.20471886],[ 7.31597201  0.87115791 -0.25266859]
99,pea,pea,pea,[8.03321316 0.26888807 1.94105927],[10.          0.28864874  2.00704044]
99,premo,premo,premo,[ 0.83861893  3.71138884  9.29025745  4.81967489  1.         -0.14733943],[ 0.54920305  6.63579735  0.01       10.          1.         -0.22029751]
99,rem,pea,pea,[ 5.23291181  0.3885755   2.51006969 -0.31668497],[ 3.59295988  1.21672839  6.23329171 -0.32843369]
