si,SN,id,tester,TN,move_cycle,hX,hY,rot_hX,rot_hY,rotation,tgt_jump,hand_max_dist,radvelmax,tgtX,tgtY,rot_hand_theta,theta_maxradv,raw_ep_hand_ang,tgt_ang,tgt_dist,fbi,MT,RT,ST,adaptation,total error,theta_maxradv_z,theta_maxradv_outlier,theta_maxradv_mean,theta_maxradv_clean,movement_var
10,10,10_i,s,72,72,7.16630085507935,96.2986692309821,0.0,0.0,0,0,96.5649499746342,614.037981094179,0,90,4.2559606092578,5.99748299928545,94.2559606092578,90,90,1,0.254233900000486,0.277367199999787,0.827275199999974,,,2.343729820047718,False,0.751570965450991,5.99748299928545,
10,10,10_i,s,73,73,5.35630085507935,83.0586692309821,0.0,0.0,-4,0,83.2311990378116,481.461391789792,0,90,3.68979019026419,3.04234605439093,93.6897901902642,90,90,1,0.263560999999356,0.320757700000343,1.09691989999965,-1.12514135745867,-0.9576539456090698,1.0234555692781222,False,0.751570965450991,3.04234605439093,
10,10,10_i,s,74,74,4.53630085507934,89.0886692309821,0.0,0.0,0,0,89.2040862897834,464.044136556612,0,90,2.9149230493482,4.87234164182678,92.9149230493482,90,90,1,0.291127199999721,0.365913299999875,0.803508299999692,,,1.8410474772564418,False,0.751570965450991,4.87234164182678,
10,10,10_i,s,75,75,0.756300855079356,83.5286692309821,0.0,0.0,-2,0,83.5320930809363,409.49112045522,0,90,0.518763956440822,-1.40222464146171,90.5187639564408,90,90,1,0.306791399999952,0.32238719999998,0.994903599999645,-6.74288715963037,-3.40222464146171,-0.9622568883449873,False,0.751570965450991,-1.40222464146171,
10,10,10_i,s,76,76,1.95630085507933,84.8286692309821,0.0,0.0,0,0,84.8512241310339,419.548142644695,0,90,1.32110899131577,-1.87054551780359,91.3211089913158,90,90,1,0.293896099999529,0.370177799999965,2.40643380000034,,,-1.1714898293767966,False,0.751570965450991,-1.87054551780359,
10,10,10_i,s,77,77,-1.71369914492064,93.9886692309821,0.0,0.0,-2,0,94.0042909050979,386.394273851289,0,90,-1.0445604847941,-3.34111626663885,88.9554395152059,90,90,1,0.337083799999903,0.331452200000456,0.945863300001179,2.575979154953243,-5.34111626663885,-1.8285005635075826,False,0.751570965450991,-3.34111626663885,
10,10,10_i,s,78,78,1.42630085507934,90.4786692309821,0.0,0.0,0,0,90.4899105974731,396.146840746401,0,90,0.903132768605815,0.705433637149653,90.9031327686058,90,90,0,0.319123499999534,0.351682700000254,0.917306300000575,,,-0.02061289466154812,False,0.751570965450991,0.705433637149653,
10,10,10_i,s,80,80,3.50630085507936,84.6086692309821,0.0,0.0,0,0,84.6812910548963,356.11298054886,0,90,2.37305887485553,2.337676470754,92.3730588748555,90,90,0,0.328147199999307,0.308568800000387,0.788842099999783,,,0.708628499018751,False,0.751570965450991,2.337676470754,
10,10,10_i,s,81,81,3.20630085507936,85.5386692309821,0.0,0.0,0,0,85.5987400548668,300.539136819997,0,90,2.14664949982664,3.34039431259785,92.1466494998266,90,90,1,0.476139999999702,0.288843800000279,1.26143379999991,0.17012156794879996,3.34039431259785,1.1566153680066278,False,0.751570965450991,3.34039431259785,
10,10,10_i,s,82,82,3.61630085507933,89.4486692309821,0.0,0.0,0,0,89.5217407061999,365.662188345605,0,90,2.31513784315362,2.5077980387028,92.3151378431536,90,90,0,0.343085700000017,0.315615399999785,1.37321159999891,,,0.7846341562358882,False,0.751570965450991,2.5077980387028,
10,10,10_i,s,83,83,5.27630085507933,87.7986692309821,0.0,0.0,-4,0,87.9570671944257,351.062930039394,0,90,3.43907980307121,3.53243368334164,93.4390798030712,90,90,1,0.46033760000023,0.318540500000324,1.76526459999923,3.76339581945985,-0.4675663166583601,1.24241329922097,False,0.751570965450991,3.53243368334164,
10,10,10_i,s,84,84,3.91630085507934,89.7686692309821,0.0,0.0,0,0,89.8540560458401,379.305665670407,0,90,2.49803541926897,6.27119385816265,92.498035419269,90,90,1,0.424115999999913,0.305350800000156,1.24723789999979,,,2.4660163353159628,False,0.751570965450991,6.27119385816265,
10,10,10_i,s,88,88,-1.13369914492067,88.4886692309821,0.0,0.0,0,0,88.4959312964237,427.751409240065,0,90,-0.734021916466219,-1.99925706334102,89.2659780835338,90,90,1,0.30604309999967,0.31293830000044,1.2248055999998,,,-1.2289946227311,False,0.751570965450991,-1.99925706334102,
10,10,10_i,s,89,89,-0.463699144920653,90.6086692309821,0.0,0.0,0,0,90.6098557371466,431.759183217625,0,90,-0.293214460156221,-3.72542755811563,89.7067855398438,90,90,1,0.354848900000377,0.293627000000129,0.968590100000768,-0.05606613509720981,-3.72542755811563,-2.0002003229022907,False,0.751570965450991,-3.72542755811563,
10,10,10_i,s,90,90,-1.78369914492065,96.0286692309821,0.0,0.0,0,0,96.0452335980967,518.823581065197,0,90,-1.06412681496882,-2.05532319843823,88.9358731850312,90,90,1,0.271314499999903,0.270668600000135,1.03063230000009,,,-1.2540434363357968,False,0.751570965450991,-2.05532319843823,
10,10,10_i,s,91,91,1.60630085507935,85.3186692309821,0.0,0.0,4,0,85.3337888633967,411.61821588278,0,90,1.07858442532302,1.10891972293832,91.078584425323,90,90,1,0.300563700000396,0.340934999999433,1.70372610000021,-1.4426580970357503,5.10891972293832,0.15965363766648372,False,0.751570965450991,1.10891972293832,
10,10,10_i,s,92,92,-1.44369914492065,88.9386692309821,0.0,0.0,0,0,88.9503859002258,396.604856934253,0,90,-0.929973480712889,-3.49798129547398,89.0700265192871,90,90,1,0.330637199999614,0.232315300000039,1.18102509999875,,,-1.898583562122946,False,0.751570965450991,-3.49798129547398,
