iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
12,premo,piece,piece,[ 0.31101507  0.03172234 20.01723721  6.46788128  1.          0.09636345],[ 0.03492857 11.82985892 12.50802959 13.22739351  1.          0.18207595]
12,rem,pea,pea,[12.19655679  2.37125094  8.79538881  0.84830472],[24.17791989  0.47619562  1.83490726  0.86941652]
13,piece,piece,piece,[5.35200235 0.92154762 1.09596948],[8.92231503 0.88918293 1.02411957]
13,pea,pea,pea,[2.77586435 0.2041178  0.30171638],[13.47855219  0.12271245  0.32417438]
13,premo,premo,pea,[ 0.13562762  6.55036409 13.16336241 21.2788123   1.         -0.28178414],"[ 7.26909970e-01  1.10037213e+01  1.00000000e-02  2.50000000e+01
  1.00000000e+00 -2.01497630e-01]"
13,rem,piece,piece,[9.72953276 3.97832496 1.12299014 1.35101289],[10.41857177  5.79909064  2.04806551  1.39930009]
14,piece,piece,piece,[4.29265746 0.1257858  0.0663476 ],[7.36824113 0.01       0.03681756]
14,pea,rem,pea,[2.99133144 0.20476311 0.40383391],[13.48317556  0.12910111  0.44315018]
14,premo,premo,pea,"[3.53342004e-01 2.05485427e+01 1.92284458e+01 1.97957482e+01
 1.00000000e+00 6.97167040e-03]","[2.93177165e-01 2.50000000e+01 2.50000000e+01 2.11146317e+01
 1.00000000e+00 1.27695084e-02]"
14,rem,pea,pea,[ 9.2273465   1.22855919  1.29978561 -0.281957  ],[ 8.6536051   3.7821307   5.35571711 -0.29813907]
15,piece,piece,piece,[3.64071829 0.94974825 0.54319837],[3.32566684 0.41096579 0.48302459]
15,pea,pea,pea,[17.11128025  0.43938817  1.55021784],[13.53072888  0.44159512  1.4973646 ]
15,premo,premo,premo,[ 0.35146315 12.65482532  4.17094607 23.79295933  1.         -0.0318268 ],"[3.95671976e-01 1.58233179e+01 2.27886066e+01 5.75500472e+00
 9.36795235e-01 1.84294338e-02]"
15,rem,rem,rem,[3.65642111 0.53821557 1.48718886 0.69567111],[3.33641977 2.88066661 9.75171325 0.65064228]
16,piece,piece,piece,[4.92883142 0.36048791 1.75584916],[7.13222128 0.60355048 1.80348636]
16,pea,pea,pea,[20.63622983  0.17213107 -0.0841497 ],[13.4284659   0.15604446 -0.10149716]
16,premo,premo,premo,[ 0.85766802 21.50470072 14.80894307 17.15519037  1.          1.89821108],[ 0.68490625 15.57882932 12.16697973  9.58896269  0.9447457   1.93667616]
16,rem,pea,pea,[7.06324117 3.41890038 8.60808486 0.54956479],[7.2832392  2.72025204 6.34363264 0.47503112]
17,piece,piece,piece,[5.98620378 1.27250403 1.69647801],[5.89167288 1.33189296 1.75370032]
17,pea,rem,pea,[2.10339401 0.4415283  0.49841127],[13.49547935  0.20752736  0.58737479]
17,premo,premo,premo,[ 0.92910651 16.40886443 17.56562761 13.49801182  1.         -0.15208995],[ 0.58595256 13.75092967 14.51249424 11.78717816  0.93100827 -0.15922705]
17,rem,pea,pea,[2.07006041 2.34347974 8.80966341 1.97082352],[ 4.59877893  1.37074573 10.          2.12334947]
18,piece,piece,piece,[ 5.11031251  0.62857859 -0.03159932],[ 8.58945609  0.87742197 -0.14984731]
18,pea,pea,pea,[15.82619281  0.37272997 -0.48131904],[13.57943474  0.40925717 -0.49662748]
18,premo,premo,premo,[ 0.95018911  4.88315839 21.37350041 20.06026551  1.         -0.46412244],"[ 1.00000000e+00  2.25322079e+01  1.00000000e-02  2.50000000e+01
  1.00000000e+00 -3.22078592e-01]"
18,rem,rem,rem,[15.37589091  2.40829957  0.26315824  0.40009934],[15.70912889  2.54075842  0.31372304  0.3444802 ]
19,piece,piece,piece,[5.83142166 0.61279936 0.19955843],[11.06948372  0.05186611  0.1532856 ]
19,pea,pea,pea,[24.73895265  0.40591155  1.75162091],[13.47186036  0.42828745  1.85156353]
19,premo,pea,pea,[ 0.54019555  9.00455504 22.29592066 12.52818969  1.          0.04733347],[ 0.25129453 11.72606751 12.5166237  13.32751462  1.         -0.02122477]
19,rem,pea,pea,[12.35575051  1.97044863  5.18455091  0.66126205],[25.          0.91507763  1.90224291  0.65684826]
20,piece,piece,piece,[ 5.1174792   0.50414331 -0.53718893],[ 3.96601469  0.03510682 -0.47487477]
20,pea,pea,pea,[15.14866175  0.2059967   0.66198295],[25.          0.17276734  0.65563164]
20,premo,premo,pea,[ 0.46083819 11.75728677 11.67203983 11.00664257  1.          1.41266925],[ 0.4992496  11.86642581 12.5044457  13.19877257  0.80681662  1.33625038]
20,rem,pea,pea,[19.39347136  2.68926037  7.0241455   1.67178073],[13.19661022  2.06419403  5.77769211  1.61626926]
